project,Kr_cm3_per_cm3_value,Kr_cm3_per_cm3_error,Xe_cm3_per_cm3_value,Xe_cm3_per_cm3_error,selectivity,PLD,LCD,density_g_cm3
f6_pcu_31_1x1x1,7.755731098,0.085524047,7.691754171,0.093542814,0.991751013,6.63515,10.63693,0.700403
f6_snp_41_1x1x1,5.837811901,0.087051933,7.450147373,0.204779069,1.276188322,12.92057,14.61224,0.542488
f7_stp_60_1x1x1,3.458488313,0.03948823,2.467493901,0.037189946,0.71346024,24.22239,26.07286,0.289185
f6_eta_7_1x1x1,1.185926361,0.013427961,0.407210168,0.012280616,0.343368848,36.64295,38.52989,0.0884881
f2_whr_2_1x1x1,11.21545093,0.082892236,14.61693667,0.09470714,1.303285687,7.69234,9.94878,0.756998
f4_rob_65_1x1x1,3.341627808,0.036607225,2.0427217,0.023944632,0.611295398,10.15533,12.07791,0.337969
f1_vbv_40_1x1x1,7.67415218,0.058908812,8.217762373,0.159000879,1.070836515,5.88881,12.66394,0.826127
f2_wnb_11_1x1x1,9.908632383,0.036349961,15.54468431,0.232148327,1.568802203,8.18678,11.99629,0.827023
f7_sit_78_1x1x1,8.107099684,0.047236869,9.125225118,0.087023383,1.125584423,10.28243,13.17969,0.411296
f5_pth_399_1x1x1,2.603839353,0.032403892,1.442164651,0.024107966,0.55386084,16.06042,17.4504,0.160185
f7_scu_50_1x1x1,10.07447666,0.149930741,15.31052724,0.359570017,1.519734251,18.33458,19.85025,0.378978
f7_the_81_1x1x1,5.339452385,0.05893368,4.900824953,0.085810274,0.917851607,14.10589,20.30671,0.364113
f6_nbo_14_1x1x1,4.417152088,0.068188499,3.412214439,0.042059391,0.772491952,10.97048,18.27808,0.291857
f7_ith_42_1x1x1,23.12852421,0.506160693,41.62223459,0.863906649,1.799606158,2.47989,4.40987,1.37508
f5_scu_135_1x1x1,4.2468427,0.056401157,3.195764508,0.052540921,0.752503621,21.21363,23.32998,0.22531
f4_ukf_40_1x1x1,2.475238379,0.073927706,1.392865733,0.029692283,0.562719835,15.57715,23.24677,0.194251
f1_ssc_5_1x1x1,7.327558481,0.634894016,0.171529903,0.088264914,0.023408875,1.09509,3.27253,1.62697
f4_bcu_16_1x1x1,6.005914562,0.066697959,4.989268203,0.07088553,0.830725804,9.16214,11.38648,0.407805
f1_scu_188_1x1x1,13.9436875,0.258381114,22.71511134,0.257332181,1.629060558,9.99827,12.48821,0.524264
f1_nfa_7_1x1x1,17.41042531,0.323659405,27.08096081,0.4355858,1.555445104,4.42279,9.02656,1.00752
f4_vbp_7_1x1x1,5.133533009,0.069804633,4.298223272,0.058646371,0.837283653,10.9224,15.28007,0.397582
f6_umh_18_1x1x1,3.758052523,0.04399333,2.301660873,0.049254188,0.612461071,11.10613,15.8684,0.565144
f6_lcx_35_1x1x1,10.62260958,0.289013417,16.87698839,0.464186801,1.588779881,6.59544,15.55059,0.760985
f4_wmc_59_1x1x1,6.031769356,0.07691756,5.216084686,0.118293082,0.864768591,8.66668,12.75782,0.413089
f4_irl_18_1x1x1,2.546534055,0.030602389,1.362715631,0.031475961,0.535125626,13.03426,18.20637,0.214912
f5_esg_72_1x1x1,3.813890372,0.061896584,2.520189582,0.032267013,0.66079235,12.69423,16.6236,0.243765
f7_hea_522_1x1x1,9.618029843,0.087214657,13.61442722,0.133497068,1.415511018,6.00005,14.45113,0.63326
f5_sqc_264_1x1x1,7.106093239,0.066768858,7.558207932,0.092591114,1.063623524,12.49644,17.18312,0.337656
f4_vme_19_1x1x1,2.34860329,0.016030552,1.303184053,0.039512465,0.554876193,21.75905,23.668,0.165281
f6_lcx_41_1x1x1,6.169036086,0.111630271,9.553798664,0.227968511,1.548669603,2.79358,10.30503,1.30546
f3_unv_23_1x1x1,9.854402537,0.308923756,14.59511778,0.334666881,1.481075867,7.87001,10.77241,0.617925
f1_hea_404_1x1x1,6.383605762,0.030265668,6.041909323,0.076562199,0.946472816,9.522,14.66554,0.476935
f6_smq_13_1x1x1,3.638119898,0.049155961,2.343993164,0.036226809,0.644286948,14.92438,17.17694,0.453771
f7_ubo_190_1x1x1,4.870557519,0.054509476,3.910125471,0.086453014,0.802808602,11.36284,13.44715,0.349231
f6_atn_25_1x1x1,2.948361846,0.047676781,1.804347845,0.034944379,0.611983175,21.09815,24.55208,0.258896
f3_smp_2_1x1x1,8.240612659,0.098052413,9.775032599,0.059213323,1.186202168,9.78069,19.31453,0.635194
f1_ssb_117_1x1x1,6.071906776,0.027587771,6.255587808,0.110852017,1.030250964,14.70937,17.82482,0.352142
f1_pth_277_1x1x1,10.74865933,0.17598952,14.07827444,0.129552979,1.309770271,7.05424,10.36274,0.454072
f6_why_91_1x1x1,7.237453118,0.104146756,8.470962737,0.200077559,1.170434212,10.91592,13.09605,0.512999
f7_csq_105_1x1x1,8.52142464,0.120864399,13.60803393,0.477071114,1.596920058,26.25926,27.37585,0.414049
f1_mmt_18_1x1x1,5.894198964,0.036160581,5.24393571,0.060529266,0.889677417,5.81462,7.97352,0.693302
f7_icd_535_1x1x1,13.04795609,0.707875459,33.04344255,0.981295838,2.5324612,2.48922,5.00757,1.39643
f4_acs_52_1x1x1,3.811938516,0.035815146,2.489627354,0.035980896,0.653113198,16.37315,18.2421,0.317514
f6_wks_36_1x1x1,5.773367314,0.074662318,5.10014567,0.029424372,0.883391857,10.35211,14.03875,0.744015
f1_sqc_77_1x1x1,31.79474236,0.211969805,90.69537621,0.995472842,2.852527477,5.04776,8.30715,0.951515
f7_wbl_810_1x1x1,2.850705711,0.028239686,1.739718419,0.030595173,0.6102764,8.14724,11.21853,0.824597
f4_ild_1_1x1x1,9.398336302,0.756058312,9.639148252,0.693473222,1.025622827,1.98443,4.09647,1.45956
f5_scu_59_1x1x1,5.336719046,0.02529535,4.887218204,0.049185672,0.915772062,19.59388,21.80337,0.28
f4_wma_34_1x1x1,13.20874349,0.232955831,25.9902278,0.390912147,1.967653306,11.4013,12.40165,0.714603
f3_wmb_12_1x1x1,9.177216623,0.114182222,10.04217097,0.174037186,1.094250183,9.33962,12.02636,0.696348
f5_ant_45_1x1x1,5.015699509,0.079616394,4.757881528,0.080407612,0.948597802,16.14076,17.17826,0.275004
f4_bcu_10_1x1x1,4.701441647,0.041848217,3.636384232,0.063852285,0.773461526,11.76673,14.74802,0.317946
f5_csq_177_1x1x1,7.835011804,0.244343454,9.148129674,0.308306988,1.167596157,33.79637,34.63628,0.416475
f1_wbl_93_1x1x1,6.709829657,0.108828665,6.864250152,0.134141541,1.023014071,8.0782,10.04729,0.676501
f4_wml_35_1x1x1,13.62745458,0.712704721,33.21705785,0.353203115,2.437510076,18.90905,19.85374,0.777965
f4_snx_58_1x1x1,3.226319346,0.023967929,2.129429454,0.016117161,0.66001819,15.32098,20.51173,0.222747
f6_wgz_10_1x1x1,9.132256503,0.119186346,12.51896175,0.109849042,1.370850867,8.07556,18.01022,0.485483
f7_stp_409_1x1x1,2.321243309,0.028783145,1.299519743,0.024829526,0.559837798,44.2136,45.26102,0.128408
f6_lcya_27_1x1x1,3.723993411,0.070274765,3.19118637,0.10791239,0.85692589,14.06813,16.16952,0.537947
f5_bor_174_1x1x1,1.967103526,0.038108122,1.001821786,0.012775408,0.509287779,21.15243,30.05225,0.128144
f6_wmo_15_1x1x1,3.555874899,0.031884324,2.479421732,0.076156119,0.697274736,11.94199,16.98943,0.345016
